"nggak","daan"
"keluarga","insannak"
"makan","makan"
"dokter","doktor"
"adat","atoran"
"panggilan untuk anak yang bertubuh gemuk","ammo'"
"tidak tahu diri","daan ngadar"
"tepung","tapong"
"daun","daon"
"hantam","antam"
"seandainya","mun"
"anak ke 2","angngah"
"kuat","jago"
"kenaikan kelas","eksaman"
"buntung (anggota badan)","kuttong"
"gula pasir","gule paser"
"membenci","bancik"
"pujian","kanak puji"
"hapus","apus"
"kami","kamek"
"lambat","lansam"
"izin","ijen"
"musim menanam padi","nandur"
"berlari dengan cepat","becaccak"
"rasa dendam","awas"
"dapur","siyok"
"curam","curram"
"emang","memangdah"
"pantat","burrik"
"diteriaki","keraokkek"
"sudahlah","udahwe"
"keras","karrau"
"celana","celane"
"anak ketiga","udde"
"menggonggong","nyalak"
"menaikkan","gerek"
"biar","biar"
"bau keringat kering","bau ari"
"termasuk","temasok"
"biarkan","adukan"
"leher","tigek"
"layangan","waw"
"jenis","janis"
"jalan-jalan","bejalan"
"keruh","gadoh"
"mungkin","kalu"
"begini","gittok"
"asin","masing"
"terjatuh","belabik"
"jernih","banning"
"menyembah","nyambah"
"mendadak","mugekan"
"coba","cobe"
"terakhir","kemuncik"
"nama buah","pelacut"
"alami","alamek"
"melotot","incinat"
"tahan lama","gogon"
"jalan jalan","jalan jalan"
"panci","kenceng"
"sleding","sleding"
"mama sudah mandi","umak udah mandek"
"benarran","inyan we"
"bibir","biber"
"gemuk dan lamban","galli'"
"meminta izin","bepadah"
"sampai di","ntang"
"mati","mampus"
"gagap","gagap"
"benjol","bal bal"
"demi","demi"
"untaian","jurrai"
"menceburkan","belampum"
"kasur","siduni"
"menidurkan bayi dengan menepuk-nepuk badannya","ippok"
"cacing","cacing"
"kata tak senonoh","ncarut"
"benjol dikepala akibat benturan","bincut"
"lentur","ganyut"
"tempurung kelaka","kelongkong"
"interupsi","interutup"
"luruskan","lajjangkan"
"biasanya untuk anak-anak","bongka'"
"terang","tarrang"
"kayu alas yang melintang","danggol"
"roko","roko"
"buah duku","rukkok"
"bra","kotang"
"punggung","belakang"
"aku","saye"
"menggeser","geser"
"juara","juare"
"mengangkang","ngengkang"
"balut","kabbat"
"penyok","kape'"
"kemaluan cowok","paler"
"saya","aku"
"pelit","palek"
"lengah","lalai"
"sek","geyye"
"ikat pinggang","taliban"
"menyangkal","ingkar"
"guruh","gurroh"
"buka","bukak"
"full","pannoh"
"biasa","biase"
"alat mendulang emas","dullang"
"sini","sinun"
"h","h"
"bepergian","bejanjang"
"manggil","manggel"
"menyuap","nyompol"
"datangi","pagge'"
"begini","getto'"
"cincau","kincau"
"perahu besar","bangkong"
"pagi","pagiari"
"ambil gambar","patrek"
"sekitar","disekitar"
"kemasukkan sampah halus dimata","kalimpanan"
"maka","make"
"sesajen","semah"
"ayak","ayak"
"lemah","lamah"
"anong","panggilan yang biasanya digunakan untuk anak kesayangan"
"topi","capel"
"bau kain yang lama tidak dicuci","bangan"
"kurang mendengar","mingngal"
"disebabkan","barrang"
"menggoda","kate'"
"tapi","tappi"
"penyakit ulu hati","duggal"
"jelek sekali","jahat inyan"
"keluarga","keluarge"
"berapa","berape"
"ngunyah","ngampak"
"nama kue","lapis"
"menangis","nangis"
"punyaku","no'ku"
"solo surakarta","Kalimantan barat"
"suka bertanya hal yang sama kadangkala hanya karena kebiasaan","ale'"
"menggidik","ngeranjang"
"omong kosong","ngrape'"
"ku","ku"
"berburu","beburu"
"wew","wew"
"ambil sedikit dengan ujung jari","ngutis"
"lapok","kirai"
"respon","respon"
"jengkal","killan"
"tujuh","tujoh"
"tidak","on"
"kobokan","kubbokkan"
"ada","ade"
"sorak sorai","keraok kepaddau"
"posisi kepala kurang tegal","lele'"
"linglung","ayap"
"gosok","gosok"
"obat sejenis rempah","tambe"
"gagu","awa'"
"dandan","dandan"
"bagaikan","laksane"
"tidak tersisa","langgis"
"telinga","telinge"
"canting","gayung"
"kembung","kambong"
"terpeleset","keliddas"
"kelas","kalas"
"menggaruk","garo'"
"terbawa arus","anyut"
"naik","naik"
"tempat mencuci piring","pelantaran"
"bergurau","pongah"
"bening","anning"
"mengejar layang-layang putus","ngontet"
"duduk dilantai","nyela'"
"hukum","hukum"
"menangkap ikan menggunakan tangan diparit/sungai","gammal"
"gurih","sappor"
"kusam","kussam"
"kampungan","sapok"
"memaksakan diri","nguattek"
"buta","bular"
"ikan asin","ikan masing"
"hilang","ilang"
"biarkan","alle"
"mandi air uap","betangas"
"biaya","biaye"
"mendarat","belaboh"
"hemat","kimat"
"jalan kecil","jalan tikus"
"lambat","ullut"
"norak","sappo'"
"tulang","tulang"
"labuh","laboh"
"menggali","gale'"
"pokok sawit","batang sawet"
"berlabuh","laboh"
"nasi","nase'"
"kepunyaanya","ano'ong"
"tempo dulu","ge' dolo'"
"pulang","balik"
"keseleo","selaok"
"berfikir","bepiker"
"terlentang","telantang"
"genggam","nganggam"
"pukul","puppok"
"berat","barrat"
"timbul","apong"
"pemalas","malas jarreh"
"masa sulit","zaman kopon"
"bara","bara'"
"ketapel","kartapel"
"merdeka","merdeke"
"cewek","cewek"
"mengikat","ikkat"
"tidak sanggup","kuawe"
"kataku","jiku"
"tendang","tandang"
"bagian dari acara perkawinan","balas kaki"
"pitam","cuttam"
"harap","harap"
"oleng","oyong"
"kati","katti"
"bekas pada kulit akibat tekanan","cangkit"
"lentur","lantor"
"kotor","kotor"
"ekor","eko'"
"Sian","Tidak ada"
"6","6"
"nasihat","fatwa"
"menggali parit","marik"
"anok","itu"
"memenuhi undangan","pengelan"
"kami","kame'"
"makan","majoh"
"lelaki","laki"
"tidak mau","daan maok"
"keliru","salah"
"bergajul","begajul"
"meminum air","naggok"
"nongol","muncol"
"hihi","hihi"
"perbuatan tidak senonoh","cabul"
"ganti","saling"
"tersumbat","bantat"
"deru","darru"
"goblok","goblok"
"wajan","kuali"
"mata melotot","tecinnat"
"karcis","karcis"
"berdampingan","beseballahan"
"kutuk","la'nat"
"menggerai","ngarrai"
"yakin","yaken"
"tidur karena kedinginan","ngetok"
"cemberut","ngelebek"
"tertancap","nyoncong"
"ikal","ikkal"
"seluruh","sumenye"
"kok","tang"
"bah","be"
"insang ikan","insang"
"kurungan","raban"
"berputar","maddam"
"pantau","tirrau"
"yaampun","yak-bayak"
"saja","jak"
"memang","barang"
"tidak mendengar, sulit diberi tahu","tempingal, mingal"
"bola","bal"
"gorden","orden"
"mendadak","muge"
"abadi","abadi"
"cabut","cabut"
"perputar saling menjajaki kekuatan lawan","berendeng"
"ikhwan","biak laki"
"letih","kappa'"
"ayam jago","jogo'"
"ngapain","ngape"
"lucunya","ngaramek"
"cik","cik"
"luka","lukka'"
"ebi","sassar"
"sebutan","base"
"bau","bau"
"bahasa","bahase"
"goncang","guyyo'"
"pelupa","luppa' lape'"
"hubungan seksual","ngancik"
"aneh-aneh","made nda'"
"ikan gabus","ruan"
"tai","taek"
"oleh","leh"
"kepastian","kepastian"
"tetapi","cumme"
"celana pendek","kullot"
"mangap","tengangak"
"omong kosong","meramput"
"lega","tannang"
"menghina","ngine"
"mengomel","merepek"
"madu","madu"
"ngorok","nyangngor"
"terkelupas dengan sendirinya","lungkah"
"laci","surongan"
"andaikata","andaikate"
"bukan","bukan"
"terperosok dalam lumpur","teporok"
"abadi","kakkal"
"ketika","pas"
"menjadi","nyadi"
"mata kemasukan sesuatu","kalimpanan"
"anak pertama","allong"
"dapur","dapor"
"tunggul","danggol"
"awal","pungka'"
"jual sebagian atau seluruhnya","lego"
"laron","cakkaler"
"lah ya","lah i"
"sangrai","aro'"
"kaki telanjang","lappa' ayam"
"seperti","macam"
"jelata","jelate"
"takut","con"
"wabah","awar"
"punya","nok"
"tidak pergi","nogok"
"berbelok","bekelok"
"sebutan keturunan tertentu keturunan kerajaan Brunai","awang"
"dari tadi","dari tadek"
"pakis","midding"
"itu","inun"
"untung","untong"
"jarak","jarak"
"jera","jara'"
"jarang","jarang"
"kemaluan wanita","tundun"
"geli","gallik"
"haa","haa"
"bosan","tibuang"
"sebuah ungkapan yang biasanya digunakan ketika terkejut","cokolok"
"tambak","tambak"
"memetik dengan galah","jullok"
"rombongan","rombongan"
"gila","babang"
"turun","turun"
"ragu","ragu"
"sirsak","nangka' belande"
"banyak","ngeranyik"
"saat","pas"
"nam pisang berbiji","gale"
"tak kusangka ,kamu punya hati busuk","daan nyangka, atimu jahat"
"timun","timun"
"basah","jappo'"
"bohong","mulok"
"sangat bau","lassing"
"bergabung","kongsi"
"ngompol","bubo'"
"seindah","seindah"
"titip","titip"
"kau","kau"
"gulat","gallut"
"rasa kurang enak","maong"
"tertidur seketika","bedassap"
"habis","langis"
"menggilas","gillas"
"tingkah","helah"
"besan","besan"
"hasil penukaran","gantian"
"kalian","kitta'"
"sebentar","tunggu bantar"
"keterlaluan","kelaluan"
"sendok","suddo'"
"rusak","ancor"
"supaye","gare"
"test","tarai"
"amal","amal"
"belulang","belullang"
"sepintas","kelintau"
"berlenggang","lenggang"
"omong bohong","ngeramput"
"keras","karro'"
"ruang tamu","serambek"
"periksa","perikse"
"ya","aok"
"suara meninggi","ngelanting"
"membuang bagian kayu sedikit demi sedikit","narrah"
"tidak berdaya","tekapar"
"buyung kelapa","kalok"
"ikat","kamput"
"iblis","iblis"
"gempar","gampe"
"larut","larut"
"buah yang bagus","klotok"
"berharap","bearap"
"tidak ambil pusing","nekat"
"cantik","kaca'"
"seharusnya","kanda'ang"
"muncul","ncongol"
"dalam","dalam"
"membawa","bawak"
"kaya","kaye"
"babak  belur","bengor"
"jauh","jaoh"
"sejenis tawon","naning"
"nasi ketan yang berbentuk empat persegi panjang","ando'"
"ganteng","lawa"
"cermin","cerammin"
"keluarga saya","keluarge ku"
"rumah kosong","temawang"
"utuh","bungas"
"terpeleset","ngelidas"
"gema","aoh"
"saleh","saleh"
"sama sekali tidak memadai","made nda'"
"pernah","suah"
"bermuka dua","mukke dua'"
"buruh tani","buroh tani"
"tidak mau","monglaing"
"muda","mudda'"
"es","es"
"menawar","nawar"
"buah busuk","kalang"
"ngawue","bodo bale"
"hilir","illek"
"suka lupa","leler"
"kata seru untuk menunjukkan kekaguman","bele"
"berlobang","bocor"
"ungkapan kecewa","sialan"
"termenung","teconom"
"bengis","bangngis"
"lakukan","kerajekan"
"bersila","duddok sela'"
"bagian lemak daging sapi","ampau"
"semasa kecil","gek kaccik"
"ngikut","ngimbai"
"kasihan","saggal"
"sopan sekali","suppan lalu"
"soalnya","soalnye"
"geser sambil duduk","ensot"
"kue","tambol"
"air sebelum pasang dan surut","kondah"
"dahulu kala","gek dolo"
"pantau","tirau"
"pelit","retok"
"ngawue","bale"
"nama","nameku"
"kipas","kukko;"
"menolih","ngaleh"
"mengedipkan mata","kirap"
"lari lari kecil","nojon"
"tidak tahu menahu","ntah"
"putar","pussing"
