"nggak","daan"
"ngemil","ngampak"
"kehilangan arah","pitau"
"habis tidak bersisa","langgis"
"rapat","meteng"
"cuma","cuman"
"dagu","jago'"
"rapat umum","behadreng"
"gol","gol"
"kail","kael"
"minyak goreng","minyak makan"
"nama burung","pirik"
"dahi yang luas karena rambut rontok","sullah"
"awal","awal"
"sangat penuh","brasak"
"kemari","sitok"
"mengenai","kanna'"
"paman","pak tuaj"
"melambai lambai","kwak kapik"
"sesuai selera","ngkana'an"
"sabar","sabar"
"tidak beres","daan gannah"
"seharusnya","kanda'nye"
"berisik","rioh"
"lupa","lupa'"
"panas","berau"
"mubazir","meruse"
"ejek","nyakat"
"agak kurang waras","issem"
"keras","karrok"
"masih relevan","laku"
"lurus","lajjang"
"tinggi semampai","jonjeng"
"kedipan mata","birik-birik"
"terlungkup","tetungkup"
"lesu letih dan susah bergerak","telempe"
"tahun baru cina","cap go me"
"sendawa","raggak"
"hiu","io'"
"intip","intip"
"terlewat jauh","belimpasan"
"aneh","ganjel"
"membuat emping padi yang masih muda","nyance"
"jelma","jalme"
"pantat","burik"
"jauh","jaoh"
"musibah","musibah"
"lonjong","bonjong"
"Jadi-jadian","muakkal"
"seru","suke"
"hati","ati"
"tidak berat","enteng"
"lebaran","raye"
"tidak ada ruang kosong","panoh"
"bising","ibboh"
"promosi","promosi"
"mau","maok"
"kol","lobba'"
"sea","sea"
"berkeinginan","dallap"
"tuli","bangngal"
"ribut","ingar"
"guna","faedah"
"walimah","acare nikahan"
"rasa buah yang belum masak","kallat"
"kayu hitam","mbarris"
"nafsu","napsu"
"baru ini","barok itok"
"lohor","luhhor"
"merah jambu","paru"
"memotong","karrat"
"heran","kassal"
"jamur","kullat"
"tilepet","segak"
"sejenis tanaman obat","banglai"
"lanjit","genit"
"lemari","lamari"
"sampai kedasarnya","jajjak"
"pengayak","ayakkan"
"memikul","gandar"
"jari antu","jari manis"
"alim","alem"
"susah","sulit"
"ganjal","saddal"
"jengkel","kassal"
"jaman dulu","gek dolok"
"pokok","pokok"
"banyak hingga bertumpuk-tumpuk","belonggok"
"bahenol","mladdor"
"ajarkan","ajare'"
"hamil","bunting"
"bibir bengkak","jungngang"
"cebong","cebong"
"kentimun","ntimun"
"pelit","palle'"
"harum","harum"
"belacan","terasi"
"lincah","lincah"
"kembar","gambar"
"mati-matian","mati gile"
"pelit","pallek"
"minta ikut","nundak"
"saling bunuh","bebunoh"
"tegak","caggat"
"makasih","makaseh"
"berliku","bekelok"
"jongkok","nyerungkong"
"kaget","tekajut"
"sejenis makan tradisional","lempeng"
"sangat pandai","maher"
"mengambil poto","bepatrek"
"pemberian","hadiah"
"gerakan menurun","lampai"
"terinjak dalam lumpur","teporok"
"tawa","tawak"
"kondangan","saroan"
"tidak paham","daan ngerati"
"tunggu sampai","tunggu sampai"
"jempol","jampol"
"potong","gorok"
"tingkah","elah"
"apapun","apepun"
"kata hubung untuk kalimat pertentangan","killa'ang"
"berpuaka","betuah"
"iblis","balis"
"tiup","tiup"
"kotak","kotak"
"bagus","jampol"
"lengket","nammel"
"kolor","kolor"
"meminum air dengan tidak sopan","nuntum"
"hari","hari"
"kabur","kabor"
"tak tentu arah","bingngong"
"pemeriksaan","pemeriksaan"
"kakek buyut","datok"
"melahirkan","beranak"
"iya","aok be"
"lampaui","langkau"
"buntung","kuttong"
"ceret","katel"
"papan","papan"
"sayang","sayang"
"merakit","molah"
"bicarakan","omongkan"
"dayung","dayong"
"nggak ada","sian"
"kecil hati","ciut"
"buang","layah"
"jangan","sodah"
"sudah digigit","gombeng"
"gerambang","gerambang"
"buang","buang"
"gantung","gantong"
"jauh disana","nun"
"wallimahan","acare nikahan"
"membuat lubang","nuggal"
"kebun yang banyak rumputnya","alik"
"perahu bermotor yang menggunakan mesin berbahan bakar diesel/solar","motor kelotok"
"cat","cet"
"bahu","bau"
"usir","layah"
"panas terik","bedangkang"
"bangkit","lumpat"
"mencangkul","nyangkol"
"berguling","gulling"
"ungkapan untuk menakut-nakuti","jagen-jagen"
"kucing berkelahi","cakkak"
"saudara","dekberadek"
"lain waktu","nante'"
"celana panjang","selawwar"
"cocok","cocok"
"bau keringat","bau ari"
"cerewet","cerewet"
"makan siang","makan siang"
"enak","lunnak"
"dakwa","da'we"
"bantu","bantok"
"aok","iya"
"pemindahan hak","hibah"
"cincang","cancang"
"miring","tempang"
"santai","santai"
"kartu","kartu"
"benar","battol"
"rendang","randang"
"memboyong habis","borok"
"bibit","bibit"
"menggunung","munggo'"
"jangan nakal","usah soso"
"dukun","bomo"
"jatuh gemetar","gelappar"
"kalimantan","Kalimantan"
"bukan yang ini","bukkan itto'"
"serius","bussong"
"jalan bersama","ganding"
"kecelakaan","kecelakaan"
"hilang","lanynyap"
"lendir","lander"
"angin berputar","angin tuttus"
"mencari","care'"
"sangat merah","kappang"
"tersembul","tejabbul"
"maju","mare"
"bicara","ngomong"
"lubuk","lubbok"
"oles","lummor"
"hujan","ujan"
"obsesi","obsesi"
"hilang","cecer"
"daki","dakeh"
"air hujan","aek ujan"
"dibesarkan","dibasarkan"
"sandal","sendal"
"besar","bassar"
"lipas","lippas"
"penjara","lokap"
"film kartun","locu"
"banjir","banjer"
"anak kecil semua","singaccik"
"gambar","gambar"
"paman","pak tua'"
"bolak – balik terus (dari jarak yang cukup jauh)","besundang"
"menempel","gampit"
"tidak tahu","intah"
"tanah","tanah"
"lahir","laher"
"kemaren","semari"
"toko","warong"
"tidak bisa berbuat apa-apa","nda' ti galle-galle"
"sangat cepat","darras"
"hantu","burong"
"masjid","masjid"
"jagoan","jago"
"malas sekali","malas jareh"
"hembus","ambus"
"terjatuh","tejolak"
"hama","bangngas"
"tuntas","gannah"
"bau air kencing","rangang"
"menurut kamu","menurutmu"
"menggabungkan","himpun"
"terbengkalai","tijerangai"
"terkapar","tebongkang"
"sange","sange'"
"jeruk","jarrok"
"menarik benda yang elastis","bajjang"
"berteduh","betadoh"
"membaca qur'an bayar niat","borda"
"tertawa terpingkal pingkal","ngakkal"
"disini","itto'"
"namaku","nameku"
"bakso","bakso"
"belum di khitan","kullup"
"tante","mak tuak"
"mendadak","tipuge"
"na'as","nampah"
"luas","lapang"
"sekali","sekali"
"ringan","lampong"
"perkenalkan","kanalkan"
"muncrat","mancit"
"abu","abu"
"pusing berputar-putar","nanar"
"aku","aku"
"meladang","kume"
"terpeleser","tigelincer"
"iblis","ballis"
"dasar perahu","jalor"
"lucunya","ngaliek"
"lalu","lantas"
"telungkup","nungkup"
"lembut","buai"
"curang","bangsat"
"garis","garis"
"bertatap muka","simukke"
"hidung","idong"
"tari","tari"
"melihat","meliat"
"saya","hambe"
"pirang","pirang"
"melambung","lambong"
"yah","ye"
"paha terbuka lebar","kangkang"
"di bohongkan","di bulaek"
"kaki tersandung sesuatu sehingga menyebabkan terjatuh","serampah"
"tidak","indok"
"ampas kopi","sakkar kopi"
"kemarin","semari"
"adik","adek"
"merah","merah"
"sangat cepat","capat inyan"
"nenas","nannas"
"disusun berjajar","jejer"
"acap","karrap"
"ringan","ampol"
"ketawa","tawak"
"panggilan gadis cina","ammoi"
"lengah","lappe"
"sombong","krewak"
"dekat","antol"
"cuma","cume"
"tikar","belungkor"
"setan","setan"
"terserah kamu","kaatimu"
"kali","kali"
"bisu","awak"
"kalut","gadoh"
"filsafat","filsafat"
"dasar","dasar"
"berdoa","bedoa"
"nenek","nek uwan"
"kejam","kajjam"
"aku ya","aku i"
"mengapung","ngapong"
"ikan buntal","buntal"
"pikir","piker"
"kuah","kuah"
"hancur","parak"
"beneran","inyan inyan"
"ceplas ceplos","lamis"
"mengambil buah yang jatuh dari pohon","janto'"
"pantau","mantau"
"ikan teri","timpusok"
"tak","daan"
"kelamin pria","buttoh"
"menggunakan","nggunekan"
"nikah","kawen"
"pinggul","pinggol"
"main","maing"
"cerewet","merepek"
"monyong","muncong"
"sentuh","gattek"
"tuh","ye"
"kisah","kesah"
"buah nangka","nangka'"
"ngompol","tibubbo'"
"mencoba","cobe"
"mikrofon","corong"
"ubi keledek","temille'"
"hendak","mao'"
"menelusuri asal usul","bejelujor"
"ujung","ujong"
"silau","jillau"
"ojek","ojek"
"i","i"
"saya sayang ke kamu","aku sayang dengan kau"
"makan dengan nafsu","majoh"
"lebat","labbat"
"terbolak - balik","tebelungking"
"sore","bahari"
"mulut","mullut"
"luas","bidang"
"apem","apam"
"gatal","miang"
"kuasa","kuase"
"payau","massek"
"berpakaian rapi","mesen"
"hambur","ambor"
"halaman","halaman"
"untuk","untok"
"dengung","dangngong"
"bando","cakkah"
"sirih","sireh"
"dara","dare"
"lurus","kojor"
"bedak","puppor"
"para","para"
"mengkilat","melaning"
"hujannya deras","hajannye labbat"
"jembatan","geratak"
"terjatuh ke depan ketika berjalan atau berlari","sirampah"
"tempoyak","tempuyak"
"tiung","tiong"
"dari mana","dari mane"
"biasanya diulang berarti bergantungan","kuwai"
"tidak simetris","buntak"
"bulan yang sangat indah","bulan yang paling indah"
"jembatan","gerattak"
"menikam","nikam"
"ubin porselin","tehel"
"gak apa apa","daan ape ape"
"pekak","bangal"
"haha","haha"
"menyambut","nyambut"
"sering sakit","dade'an"
"galau","galau"
"berteriak","ngeraok"
"dimasak","jarrang"
"brengsek","bangsat"
"mendengarkan","nangarkan"
"pasang aksi","melawa"
"basah kuyup","basak busok"
"kempes","kampis"
"makan sore","makan behari"
"rasa agak pahit","kallat"
"Bersihkan","Barsehkan"
"sangat banyak","belonggo'"
"longgar","kandor"
"mengantuk","ngantok"
"telungkup","nungkup"
"ap","ap"
"sudah sehat","rabbah"
"kotoran gigi","taek ugik"
"pasar","pasar"
"mengusir","burru"
"rasa sangat takut","bedaggub"
"ayam jago","jogok"
"kan","kan"
"katamu","jimu"
"sangat kelaparan","kebuloran"
"yah","i"
"pipi","pipi"
"termanis","paling manis"
"sehat","sehat"
"memperhatikan dengan seksama","nirrau"
"di sana","di sinun"
"minum","minum"
"jerit","jarrik"
"pesing","rangang"
"alat untuk menampi beras yang terbuat dari anyaman bambu","nyiro'"
"kepingin","rase nak"
"tidak ada","se'an"
"beras lembut biasanya untuk ketupat","banjar"
"manis","manis"
"mengiris","ngirris"
"lerai","lara'"
"sering","malar"
"sendirian","senyorang"
"pesing","lassing"
"cahaya","cahaye"
"gendong","ambing"
"menunda","nunda'"
"alat menangkap ikan dilaut","bagan"
"gigi besar","gigi kapak"
"pakaian sarung dan jas","dabal"
"tidak lagi pas ukurannya","lamber"
"desa","desa"
"ganjen","sundal"
"gula pasir","gule"
"andai","kallu"
"saja","ajak"
"duri","durri"
"geser","ansar"
"salah tingkah karena menahan malu","kassang"
"senggama","ngancek"
"warung makanan","ciplak"
"menghadiri","ngaderek"
"cekatan","pintar"
"menutupi","ngumbo'"
"dingin","sajok"
"di dalam","di dalam"
"tempat tidur","rasbang"
"tukang traktir","bandar"
"alat penangkap ikan","ballat"
"mudah patah","buai"
"meluncur","lancing"
"itu","iye"
"melamun","timannong"
"lelah","lallah"
"lutut","pelaktut"
"hatamul qur'an","berattam"
"bungkusan kecil","kampel"
"gorden","gorden"
"jatuh dari ketinggian","tebuang"
"bambu","bulloh"
"ubin porselen","tehel"
"daerah","daerah"
"bagian buah yang terlalu masak","bangngas"
"ikan lele","kalle'"
"manjur","manjor"
"habis itu","lakak iye"
"malu","camma'"
"menuntun","nuntun"
"sentuh","gamit"
"memanggil","sarro'"
"lemah","cuwai"
"ketinggian air","lampis"
"game","game"
"mu","mu"
"jahat","johot"
"alat untukmelicinkan permukaan kayu","katam"
"habis total","langngis"
"sobek","sirah"
"cukur","cukkor"
"kakek","aki"
"anjing","guguk"
"menusuk","nujjah"
"menikahi","nikahek"
"terkentut","tekantut"
"garis bengkok","berot"
"panggilan saudara yang bertubuh rendah atau pendek","andah"
"ahli","menali"
"kue pisang","kussoi"
"dua","dua'"
"warung","warong"
"jelaskan","jalaskan"
"kemarin jalan jalan","semari bejalan"
"garing","ranggup"
"panggilan terhadap irang laki-laki yang berlum berkeluarga atau masing bujangan","jang"
"busuk","buntok"
"menelusuri asal usul","beselusor"
"penuh sesak","berasak"
"cawan","gallas"
"2","2"
"terlena","leke"
"daya","lepe"
"keturunan yang lahir kurang sempurna secara fisik","idap"
"menyimpan","nyimpan"
"singkawang","singkawang"
"paha","punggong"
"Tanaman sejenis bakau yang hidup di pinggir laut","Batang peapi"
"jangankan","jangankan"
"bubur","bubbor"
"penjara","penjare"
"menyala","iddup"
"tongkat","tongkat"
"batas ruas bambu","bukko'"
"jangan","ussah"
"gadis","dare"
"bentur","bantor"
"jenuh","baus"
"musim hujan, angin kencang, dan gelombang besar di daerah pantai","landas"
"memukul pelan bagian pantat bayi untuk menidurkan bayi","ipok"
"intip","nillik"
"bapa","bapa"
"ngos-ngosan","hangas"
"memukul berulang kali","bantai"
"kata kamu","jimmu"
"pecah berantakan","bedarrai"
"bibi","mak tua'"
"sepeda motor","motor"
"penggaris","mistar"
"zaman dahulu","ge' mare'"
"tenggelam","lampis"
"wakil","ahli"
"meriang","ngeranjang"
"aturan","atoran"
"pujangga","pujaan"
"celup","callup"
"tetek","tetek"
"mata rusak sebelah","bullar"
"disusun berbanjar","jejer"
"angin ribut","angin ribut"
"panggilan untuk anak kedua (perempuan)","angah"
"toga","toga"
"sayuran bahanbuat bubur pedas","midding"
"sayangku","sayangku"
"basah sekali","lallam"
"bisul","binsol"
"gandeng","ganding"
"bekas","baggas"
"dana","dane"
"pembalap","pembalap"
"pecah","pacah"
"boleh","kolehhal"
"cacingan","biaran"
"lauk","laok"
"sangat hitam","ittam-laggam"
"mencakar","kerabbok"
"serak","garrau"
"orang gendut","tembam"
"pancing","kael"
"tiba","sampai"
"melamun jauh","timannong"
"pada waktu dahulu","gek dolo'"
"muncul","muncol"
"saya","saye"
"tidak kemana-mana","nogo'"
"e","e"
"nyala","nyala'"
"alir","aler"
"buruk","burok"
"sempurna","sempurne"
"maafin","maafkan"
"betah","battah"
"jalan-jalan tanpa tujuan","ngerayau"
"bagian dari upacara perkawinan","buang-buang"
"bengkak","bangkak"
"tidak malas","daan malas"
"kata orang","jinye urang"
"ijuk","ijjok"
"kurang berani","ciut"
"idiot","idiot"
"musim penyakit ayam","awar"
"ingin","carat"
"kecil","alus"
"cerewet","mulluttan"
"isap","issap"
"malu","cammak"
"kenapa begitu cantik","ngape tang cantek inyan"
"semua","sume'eng"
"media khusus untuk menanak nasi","kenceng"
"kendur","kandor"
"juga","jua'"
"lupa","lupak"
"kalau","mun"
"kue","kueh"
"bahasa sambas","bahase sambas"
"laki laki","biak laki"
"satuan untuk menyatakan jumlah","butte'"
"bruntusan","meranas"
"buang air besar","bera'"
"bersin","kase'"
"sini","sittok"
"bola dari kulit","bal bladar"
"magnet","bassi berani"
"tampak","nampak"
"budak","biak"
"capil","capil"
"jumpa","jumpe"
"berliur","belior"
"buang angin","kantut"
"cemberut","tebajju'"
"pundak","belakang"
"jalan-jalan","melancong"
"lurus","bujjo'r"
"kencing","kancing"
"modul","modul"
"ketikan","katikkan"
"abang","abang"
"sogol","tidak tega"
"mengadon","ngadon"
"kepanasan","lissoh"
"kerumah","kerumah"
"menilak","nullak"
"terik","tarrik"
"senyap","sannyap"
"cemburu","cemburu"
"berkenalan","kanalan"
"ventilasi","lubbang angin"
"tunggang langgang","balik belungkang"
"tidak mengakui","ingkar"
"kuda","kudde"
"mengadu","betummang"
"hama","bangas"
"berhias","mesen"
"selesai","lakka'"
"tidak pernah","daan suah"
"noreh","nurreh"
"gabung","gabong"
"benjol","benjol"
"joorok","cerobo'"
"bubuk bersila","nyela'"
"bohong","bullak"
"test","tarai"
"menyambar","nyambar"
"15666666666.0","15666666666.0"
"menyisir","bekillas"
"benar tidak","batol ke"
"tinju","boksen"
"goda","ngode"
"ajak","ajak"
"desak","dassak"
"bocor","bobos"
"kemana-mana","latto'"
"almarhum","jannat"
"potongan pinggiran","simper"
"memeras","parrah"
"menggelepar","ngelattap"
"bagaikan","ba'"
"bagian dari acara perkawinan","balik tikkar"
"mengenai","kannak"
"mudah jatuh","gaggai"
"berantem","beramok"
"hiu","iyok"
"kursi","kursi"
"bahasa sambas","bahase sambas"
"penipu","penipu"
"bergaya angkuh","kerewak"
"sarapan","sarapan"
"mantan","mantan"
"tak tentu arah","soksasap"
"burung sejenis elang","bendaol"
"sepeda","lereng"
"lengah","leke"
"rasa nya","rasenye"
"rambutnya","rambutnye"
"kurang lancar","gancat"
"kangen","salok"
"satuan ukuran isi untuk beras atau biji-bijian lainnya yang seukuran separuh tempurung kelapa","alling"
"sudah tau resikonya besar masih juga dilakukan","dah tau tunggol antakke' burik"
"bengis","bangis"
"satu buah","sigek"
"kenapa","jape"
"jantan","jantan"
"pontianak","pontianak"
"koyak","baddau"
"aliran","aleran"
"ini","ito"
"gemerincing","bedancing"
"mustahil","ingkoset"
"berjalan dengan sebalah kaki","entet"
"cuci muka","mpungas"
"berurutan","beririk"
"nama takaran","gantang"
"ke","ke"
"jeput jeput","caprot"
"buang air pada saat tidur","bubo'"
"remang remang","kaddau"
"selalu goyah","gaggai"
"saya","saye"
"kita","kitte"
"soalnya","soalnye"
"kelereng","gulli"
"bagian puncak atap","bumbongan"
"tahu diri","ngadar"
"awan","awan"
"menyukai","suke"
"kepada","kepade"
"kadang","biasenye"
"ribut","hingar"
"haduh","adoh"
"lagi","age'"
"memberi","marek"
"lupa","luppa'"
"gemuk","gamok"
"syukur","syukor"
"banyak ya","banyak i"
"cerai","carrai"
"block","blok"
"ungkapan yang digunakan ketika latah","cok kolok"
"guling guling","guling guling"
"pembelajaran","pembelejaran"
"nanya","nanyak"
"gigit","kakkah"
"ganteng","ganteng"
"suara bising","bedassing"
"laci","laci'"
"panti","panti"
"masjid","langgar"
"telungkup","tungkup"
"dahi yang menjorok kedalam","caddok"
"marah","marah"
"membuka","buka"
"darah tinggi","ehmar"
"jalan lurus tanpa toleh kiri kanan","meloros"
"hinggap","inggap"
"lengkap","langkap"
"kukus","kukkus"
"jatuh","lurroh"
"ikat","kabbat"
"bermain di air parit atau sungai","matak"
"comel","lamis"
"yang diandalkan","guccu'"
"alis","alis"
"kenapa sekarang jaman sulit sekali","ngape kinitok jaman susah inyan"
"seni bela diri tradisional","kuntau"
"capek","kappak"
"letih","kapa'"
"tirai","gorden"
"kenyang","sabbol"
"yg","yg"
"sawah","ume"
"terbaring karena lelah atau sakit","telempe"
"montoknya","montok inyan"
"menebak","nujum"
"menjadi seperti balon","ngelambong"
"mengajar","ngajjar"
"pacaran","ngurrat"
"tidak pasti","nda' tantu"
"disitu","disiye"
"bantal guling","gulling"
"Hubungan","hubongan"
"mata berkunang-kunang","mpapatan"
"tasbih","tasbeh"
"mengikut","ikut"
"elang","allang"
"menggemaskan","cerammut"
"kebetulan","simakai"
"rambut","rambut"
"angguk","anggok"
"mengecil","ciut"
"cium","cium"
"keagamaan","nyalai"
"kerut","ngerissut"
"mandi","mande'"
"seperti yang aku katakan","iddi"
"bau cairan yang sudah  lama tesimpan / bau comberan","bangar"
"begitulah rupanya","ja' geye"
"alergi atau gatal-gatal","baddi"
"rok","hem"
"gadis tua","gawak"
"meladeni","ngelone'"
"beratburan","bangan"
"setengah","sepiak"
"judi","betaroh"
"ma","ma"
"lucunya","ngaliek"
"serambi","berande"
"kalender","almanak"
"cepirit","terkinch"
"memberi tanda","nande"
"keringat","paloh"
"mendengar","nangar"
"kenang","ngannang"
"mesin","massen"
"terlihat","teliat"
"lucunya","ngaramek"
"bibir monyong akibat pembengkakan","jungang"
"kabarmu","kabarmu"
"lumpur","lumpur"
"luar","luar"
"berjalan, melewati orang, masuk ke dalam rumah tanpa permisi","meloros"
"mustahil","koset"
"tidak konsentrasi","cacau"
"teater tradisional","bangsawan"
"kurang ajar","kurang ajar"
"berdiri","ticaggat"
"bukan saya","inda'an"
"kesetianku","kesetiaanku"
"lapar","lapar"
"lamanya","lamaknye"
"gondrong","gondrong"
"kampungan","sapo'"
"robek","rattas"
"gigi","giggi"
"ungkapan untuk sesuatu yang wah","bayya' - bayya'"
"melihat","meliat"
"bagian kaki bawah","battis"
"tuanya","tuenye"
"udang","undang"
"bunyi","bunyi"
"gaduh","gadoh"
"pekarangan rumah","halaman"
"sket","kar"
"menjadi sesak","nyassak"
"bakul berukuran besar yang biasanya terbuat dari anyaman","baka'"
"bertemu","bejumpe"
"pelabuhan","pelabohan"
"memikat","mikat"
"sekarang ini","kinnitok"
"memberi","barrek"
"mengadukan hal dan nasibnya","betummang"
"perbuah","perbuah"
"mundur","mundok"
"apa arti nya","ape rati nye"
"penuh air","meladong"
"hitam","itam"
"monyet","karra'"
"menghitung","ngitong"
"saat","waktu"
"sejak","sejak"
"selimut","gabar"
"mana","mane"
"ajari","ajarek"
"dengar","dangngar"
"ingin","nak"
"melantai","nyela'"
"menuduh","nuddoh"
"pelit","kedakkut"
"nenek","ne'"
"sedih berlarut-larut","meringku"
"patutlah","pantasan"
"giwang","kerabu"
"ongkos","biaye"
"ambil","ambe'"
"aksi","lawa"
"mencari sesuatu diantara","ngareh"
"menyimak","nyema'"
"mules","mulas"
"minum obat","minum obat"
"dinas","dinas"
"cuci","cuci"
"sore hari","buah ari"
"pelit","kuwit"
"kurang sinkron","besingka'"
"mencicipi","jamah"
"mencuci","nyuci"
"yang ini berapa duit","yang itok berape hargenye"
"astaga","yak bayak"
"jari manis","jari manis"
"suara kibasan ikan","nglebok"
"tempat berbentuk segi empat di rumah tempat menyimpan","tamping"
"basi","basi"
"jempol","indok jari"
"ibu","ibuk"
"kasian","kasian"
"apakah aku bisa","apeke aku bise"
"kejang","kajjang"
"kondisi badan yg sudah lelah sehingga sampai menimbulkan bunyi","rakkok"
"jongkok","njerungkong"
"malas","cullas"
"kelewatan","kelimpasan"
"tubuh","badan"
"lempar","lontar"
"mendengar","nangar"
"saya tidur","aku tidok"
"kapas","kapas"
"terus-menerus","nda' besalle"
"jijik","getti'"
"muka memerah","berama'"
"kampungan","sappok"
"dikupas","kuttis"
"siapa itu","sape ye"
"giat","gogon"
"sedih","pilo'"
"sangat basah","lallam"
"gugur","guggor"
"seperti telur","nallo'"
"suara rendah","garrau"
"ayam kate","danna'"
"memikul","ambing"
"ibu jari","indok jari"
"tak bergigi","ronga'"
"kurang waras","babang"
"campur","campor"
"mengolah","ngalleh"
"mandilah","mandek lah"
"selesai","taem"
"disana","sinun"
"mengira","ngire"
"kapak","beliong"
"menelan","nallan"
"pimpinan","pimpinan"
"panjang","jenjeng"
"kuku yang rusak atau membusuk","mahat"
"membuat sesuatu menjadi semakin rumit","larat"
"menjemur","ngasai"
"berasa","rase"
"nagasari","ukal pisang"
"agama","agame"
"menari","nari"
"garam","garam"
"tidak bekerja, menganggur","nogo'"
"anak ke 4","unning"
"megang","migang"
"jangan takut","usah takut"
"bentuk","bantok"
"nenen","nyusu"
"ditutup","kumbo'"
"seluruh","seluroh"
"mulai","mule"
"kembang selasih","kambang selaseh"
"tidak mau","besumpik"
"keris","karris"
"yunika","yunika"
"kepala pusing","paning kepalak"
"tidur secara tiba tiba","ketidok'an"
"ruang tamu","serambek"
"rumah kosong","timbawang"
"tidak padat","geronggang"
"menyesal","nyassal"
"sekarang pak","itok pak"
"terbangun dari tidur","meladde"
"hijau","ijjau"
"kepala","kepalak"
"lutung","luttong"
"bujur","bujjor"
"hadir","hader"
"bokor","batel"
"kalajengking","kale"
"petir","guroh"
"kulum","ngullum"
"gagah","gagah"
"alu","alok"
"chating","chating"
"terjatuh dalam lubang","teperosok"
"hiu","iyok"
"banci","bences"
"meracau","ngerepe'"
"sangat banyak","betasik"
"semoga","semoge"
"dedek","adek"
"berlubang","passok"
"kenang","kannang"
"ini","itok"
"pesek","picak"
"rumah kosong","tembawang"
"berhias","bepesen"
"selokan","parit"
"gayung","gayong"
"Sakit-sakitan","dade'an"
"kegiatan yg bisa dilakukan apabila mencari barang yg mungkin terjatuh di bawah meja atau di bagian bawah lain nya.","nyurok"
"puluh","puloh"
"memagari","ampang"
"talam","redang"
"do","do"
"kalah bertanding","keok"
"bau jelek sekali","lassot"
"teras, teras rumah","serambe' , serambi"
"asam","masam"
"kabaya","kebaye"
"tidak tau","daan tau"
"apakabar","apakabar"
"tiup","ambus"
"biar","halle"
"isi","isse'"
"mengupas","kelopak"
"plastik","plastik"
"mencuat","ngelaik"
"tidak bisa berdiam diri","ngelanyar"
"kaki","kaki"
"menantu","menantu"
"amplop","amplop"
"selamatan anak","bekekah"
"renyah","rangngup"
"tidak","inda'"
"melewati kepala","lampus"
"berselimut","bekumbok"
"hancur sampai bagian halus","lummat"
"iya","ngk"
"cahaya","cahye"
"angin","angin"
"licin","licing"
"menjahit","jaik"
"jambang","rongos"
"cangkang","kerubbong"
"berhala","berhale"
"seperti","bagai na'"
"menerima","nerimak"
"rebus","rabbus"
"sialan","sialan"
"nama","name"
"menjadi putih","mutteh"
"jera","jarra'"
"melotot","teconom"
"dibagi","bancoh"
"dacin","dacing"
"nama buahan","maram"
"sepatu","sepatu"
"cocok","pas"
"nabi","nabbi"
"bangkit dengan sesegera mungkin","merugas"
"gerombolan","gerombol"
"waktu","waktu"
"kambing bertanduk panjang","ganda'"
"nyiur","inynyor"
"kamar tidur","lintok"
"gosong","rattong"
"jujur","jujor"
"bingung","kelingngau"
"bagian","bagian"
"keseringan","karrap"
"ngak ada","sean"
"jendela","kelengkokan"
"bolak balik","besundang"
"meniup","ngambus"
"darah bawaan","bakke"
"anak-anak","biak kacik"
"keluarga saya","insanakku"
"lompat","engke'-engke'"
"tukar","ganti"
"terlelap","telallap"
"terlalu lemah","letoi"
"pulsa","pulsa"
"berangsur","angsor"
"perhatian","ngape'kan"
"orang darat","urang darat"
"berangkat kesawah","mare kumme"
"telungkup","nungkup"
"teras rumah","teres"
"kecil","kaccik"
"terlumat habis","lati"
"keuntungan","keuntongan"
"diam","diam"
"putih sekali","melappo'"
"kuat daya tahan","lullongan"
"ibadah","ibadat"
"depa","dappa'"
"teruk","burok"
"halilintar","lentar"
"makan dengan nafsu","makan"
"nyiru","nyirok"
"kapas","kabu-kabu"
"wadah","bareng"
"memancing ikan dengan cara pancing ditinggalkan.","najor"
"nanah","nanah"
"burung hantu","buak"
"mengutuk","la'nat"
"perih","paddeh"
"terlalu banyak bertanya","ale'"
"seolah-olah","cak-icaknye"
"antena","antene"
"kering","karring"
"kena getahnya","imbas"
"ketam","kattam"
"ruang gerak","lansar"
"pantau","nirau"
"warung makan","warong makan"
"hujan deras sekali","ribbut"
"jambang","jambang"
"dinding","dinding"
"tiduran","tidok"
"bicara terus","ngrepek"
"aku mencintaimu","aku cinte kau"
"akrab, sahabat kental","rapeh"
"malu","suppan"
"bintil","bintel"
"kok","tang"
"katamu","jimu"
"keranjang","ragak"
"telinga panjang","teling jenjeng"
"tengkuyung","kuyong"
"enam","annam"
"terjatuh","belabbik"
"kuning indah","kuning langsat"
"suap","suap"
"motif kain tradisional sambas","lunggi"
"bercinta","becinte"
"pantat","burrik"
"obat","tambe"
"tempat penjagaan","gardu"
"balutan untuk mencegah gerakan tangan bayi","baddong"
"menjadi","menjadi"
"meluas","melarah"
"enggak","daan"
"mundur","mundor"
"banyak ya","banyak i"
"bau benda berbahan kain yang disimpan lama","bangngam"
"ganjaran","hadiah"
"pengikut","pengikut"
"terbatas","tebatas"
"bekas","gissa'"
"batang","batang"
"pensil batu","garrep"
"meramal nasib","merasi"
"kadaluarsa","ubas"
"akhirnya","akhirnye"
"japai menurut kebiasaan supaya tidak kena sial dan kemponan","japai"
"mengawali","ngawalek"
"mencari ikan menggunakan alak tangguk","nanggok"
"satu","satu"
"hubungan seksual","ngampek"
"robek","rambau"
"drama","pelam"
"memikirkan","mikerkan"
"sekarang kau","kinitok kau"
"kalong","keluang"
